psa_nr;aufstellort;bezirk_gebiet;abschnitt_von;abschnitt_bis;stellplaetze;roter_punkt;gebuehrenzeit;gebuehr_je_15_min_euro;hoechtsparkdauer_stunde;tagesgebuehr_euro;tarifzone;geokoordinate_nord;geokoordinate_ost
1;Deutzer Freiheit 53;Deutz I;Siegburger Str.;Düppelstr.;9;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,9368737870142;6,97247939703996
2;Offenbachplatz 3;City/Martinsviertel;;;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9379620905046;6,95324554326739
3;Turkuplatz;Chorweiler;Athener Ring;Willi-Suth-Allee;33;;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;51,0197583817921;6,89721986338698
4;Neusser Str. 453;Nippes;Bergstraße;Mauenheimer Gürtel;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9724826862996;6,95046468195954
5;Liverpooler Platz A;Chorweiler;Platzfläche;;45;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;500028;51,0209589259414;6,89863529576492
6;Haselnußweg 36;Chorweiler;Mercatorstr.;Taborplatz;11;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;51,0116775663037;6,90594695652985
7;Jahnstr. 9/Taubengasse 15;Griechenmarktviertel;Mauritiuswall;Humboldtstr.;38;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9318254602338;6,9424170324001
8;Jan-Wellem-Str. 2;Mülheim;Platz;;65;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9605778291494;7,00472456170289
9;Bonner Wall 2a;Südliche Neustadt II;Bonner Straße;Ohmstraße;6;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9164550241429;6,9607031666605
10;Vorsterstr. 68;Kalk;Parkplatz;;79;Kalk;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9385312925406;7,00191072288273
11;Buchheimer Str. 56 Platz;Mülheim;;;29;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9625298044727;7,00332411543077
12;Kunibertsklostergasse 16;Kunibertsviertel;Kunibertsklostergasse;Dagobertstr.;11;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9472588035758;6,96274979518348
13;Hauptstr. 85 / Rathaus;Rodenkirchen;;;35;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,891940618642;6,9966612105943
14;Mühlenstr. 49 Platz;Porz;;;45;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,8827444342012;7,0584936548839
15;Deutzer Freiheit 85-87;Deutz I;Düppelstr.;Neuhöffer Str.;12;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500065;50,9368293219422;6,97416280617254
16;Deutzer Freiheit 106;Deutz I;Neuhöffer Str.;Reischplatz;7;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,9368528800387;6,97639800299512
17;Kirchstr. 2;Rodenkirchen;;;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8947259723895;6,99363351732095
18;Fuchsstraße (Parkplatz);Ehrenfeld;Venloer Str.;Sportplatz;47;EHRE III;Mo-Sa 09:00 - 21:00;0,50 €;12;Ja;500102;50,9462033115829;6,9280440760864
19;Holweider Str. ggü. 124;Mülheim;Carls-Werk-Str.;Zehntstr.;10;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;500029;50,9642090425284;7,01678358679452
20;Yitzhak-Rabin-Platz;Rathenauviertel;Engelbertstr.;Hohenstaufenring;40;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9330093865705;6,93877042573153
21;Oststr. 12 Platz;Rodenkirchen;Platzfläche;;37;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8929470062552;6,9971915324663
22;freie Nummer (ehemals Barbarastr. 47-49 Platz);Rodenkirchen;;;44;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8934078649025;6,99741589367034
23;Frohngasse (Zoobrücke links);lrh. ohne BWP;;;76;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9564012232745;6,9721748563453
24;An der Flora (Zoobrücke rechts);lrh. ohne BWP;rückseitig zu PSA 2779;;64;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9573529578551;6,97085932669675
25;Am Marktplatz 1 (Ensen)Platz;Porz;;;63;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8978112410946;7,0287128003158
26;Kyotostr. 17;Gereonsviertel;Gereonsmühlengasse;Klingelpütz;21;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9452612196561;6,94891721839323
27;Im Weidenbruch 135;Mülheim;;;25;;Mo-Sa 09:00 - 18:00;0,50 €;1;;500037;50,981538365461;7,03344518127314
28;An der Kemperwiese 4;Mülheim;Platz;;43;;"Mo-Mi+Fr 09:00 - 18:00; Do 14:00 - 18:00 + Sa 09:00 - 14:00";0,50 €;4;;500035;50,9759398935597;7,07522296982413
29;Hansaring ggü. 83  (Mittelinsel);Eigelsteinviertel;Ritterstraße;Bremer Str.;64;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,948153075888;6,94983864342903
30;Ostlandstraße ggü. 26;Weiden-Süd;Tilsiter Weg;Göttinger Straße;5;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9355777095909;6,83907363936264
31;Weyerstr. 100;Griechenmarktviertel;Weyerstr.;Neue Weyerstr.;25;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9301559387247;6,94259027576532
32;Ostlandstraße 30;Weiden-Süd;Tilsiter Weg;Göttinger Straße;7;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9357091643828;6,83882135141953
33;Vorgebirgstr. 39;Südliche Neustadt II;Loreleystr.;Volksgartenstr.;19;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200859593378;6,95054204444892
34;Vorgebirgstr. 19;Südliche Neustadt II;Volksgartenstr.;Vondelstr.;7;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9216190102934;6,95145718793784
35;Volksgartenstr. 20 (Insel);Südliche Neustadt II;Metzer Str.;Vorgebirgstr.;85;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9206323568821;6,9520530628205
36;Volksgartenstr. 4 (Insel);Südliche Neustadt II;Martin-Luther-Platz;;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9200233245351;6,9534863425311
37;Rolandstr. 95 Insel;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;41;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,919541584863;6,95481697696704
